category_ja,name,region,feas_ja,status,budget,budget_tn_yen,timeline,proponent,tags,lat,lng,link
観光・地域活性化,大阪・夢洲 統合型リゾート（IR）,近畿,高（着工済・計画決定）,計画決定,約1.8兆円,1.8,2030年秋頃,大阪IR株式会社,IR|夢洲,34.65,135.39,https://www.google.com/search?q=%E5%A4%A7%E9%98%AA%E3%83%BB%E5%A4%A2%E6%B4%B2%20%E7%B5%B1%E5%90%88%E5%9E%8B%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%EF%BC%88IR%EF%BC%89%20%E5%A4%A7%E9%98%AAIR%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E5%85%AC%E5%BC%8F
交通・インフラ,なにわ筋線,近畿,高（着工済・計画決定）,建設中,"約3,300億円",0.33,2031年春,JR西日本、南海、大阪市,大阪|新線,34.69,135.498,https://www.westjr.co.jp/
観光・地域活性化,うめきた（グラングリーン大阪）,近畿,高（着工済・計画決定）,段階開業,"約2,700億円",0.27,2024〜2027,開発事業者連合,再開発|大阪,34.703,135.494,https://www.google.com/search?q=%E3%81%86%E3%82%81%E3%81%8D%E3%81%9F%EF%BC%88%E3%82%B0%E3%83%A9%E3%83%B3%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E5%A4%A7%E9%98%AA%EF%BC%89%20%E9%96%8B%E7%99%BA%E4%BA%8B%E6%A5%AD%E8%80%85%E9%80%A3%E5%90%88%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,中之島 未来医療国際拠点,近畿,高（着工済・計画決定）,開業,数百億円,0.2,2024年 開業,大阪府ほか,再生医療|研究,34.69,135.49,https://www.google.com/search?q=%E4%B8%AD%E4%B9%8B%E5%B3%B6%20%E6%9C%AA%E6%9D%A5%E5%8C%BB%E7%99%82%E5%9B%BD%E9%9A%9B%E6%8B%A0%E7%82%B9%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,夢洲 第2期まちづくり,近畿,中（一部運用・ルート調整中）,構想・整備,数千億円,0.5,万博後,大阪市ほか,再開発|夢洲,34.652,135.388,https://www.google.com/search?q=%E5%A4%A2%E6%B4%B2%20%E7%AC%AC2%E6%9C%9F%E3%81%BE%E3%81%A1%E3%81%A5%E3%81%8F%E3%82%8A%20%E5%A4%A7%E9%98%AA%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
交通・インフラ,神戸空港 国際化,近畿,中（一部運用・ルート調整中）,運用拡大,数百億円,0.2,2025年〜国際便,神戸市ほか,空港|神戸,34.633,135.224,https://www.google.com/search?q=%E7%A5%9E%E6%88%B8%E7%A9%BA%E6%B8%AF%20%E5%9B%BD%E9%9A%9B%E5%8C%96%20%E7%A5%9E%E6%88%B8%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
エネルギー・環境,神戸・川崎 水素サプライチェーン,近畿,中（一部運用・ルート調整中）,実証〜商用化,数千億円,0.4,2030年代,HySTRA、ENEOS ほか,水素|液化水素,34.68,135.2,https://www.google.com/search?q=%E7%A5%9E%E6%88%B8%E3%83%BB%E5%B7%9D%E5%B4%8E%20%E6%B0%B4%E7%B4%A0%E3%82%B5%E3%83%97%E3%83%A9%E3%82%A4%E3%83%81%E3%82%A7%E3%83%BC%E3%83%B3%20HySTRA%E3%80%81ENEOS%20%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
交通・インフラ,京都 リニア新駅 誘致,近畿,低（構想段階・長期検討）,構想,数千億円,0.3,長期検討,京都府・京都市,リニア|京都,34.99,135.76,https://www.google.com/search?q=%E4%BA%AC%E9%83%BD%20%E3%83%AA%E3%83%8B%E3%82%A2%E6%96%B0%E9%A7%85%20%E8%AA%98%E8%87%B4%20%E4%BA%AC%E9%83%BD%E5%BA%9C%E3%83%BB%E4%BA%AC%E9%83%BD%E5%B8%82%20%E5%85%AC%E5%BC%8F
交通・インフラ,紀淡連絡道路 構想,近畿,低（構想段階・長期検討）,構想,兆円規模,1.0,長期検討,関係自治体,道路|海峡,34.3,135.0,https://www.google.com/search?q=%E7%B4%80%E6%B7%A1%E9%80%A3%E7%B5%A1%E9%81%93%E8%B7%AF%20%E6%A7%8B%E6%83%B3%20%E9%96%A2%E4%BF%82%E8%87%AA%E6%B2%BB%E4%BD%93%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,堺・泉北 次世代産業／再開発,近畿,中（一部運用・ルート調整中）,推進中,数千億円,0.3,継続,大阪府ほか,産業|再開発,34.57,135.47,https://www.google.com/search?q=%E5%A0%BA%E3%83%BB%E6%B3%89%E5%8C%97%20%E6%AC%A1%E4%B8%96%E4%BB%A3%E7%94%A3%E6%A5%AD%EF%BC%8F%E5%86%8D%E9%96%8B%E7%99%BA%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,Micron 広島（先端DRAM）,中国,高（着工済・計画決定）,投資拡大中,数千億円規模,0.8,次世代量産,マイクロンメモリジャパン,半導体|DRAM,34.37,132.743,https://jp.micron.com/
観光・地域活性化,広島 サッカースタジアム／紙屋町・八丁堀再開発,中国,高（着工済・計画決定）,開業・進行,数百億円,0.1,2024年 開業,広島市ほか,スタジアム|再開発,34.39,132.45,https://www.google.com/search?q=%E5%BA%83%E5%B3%B6%20%E3%82%B5%E3%83%83%E3%82%AB%E3%83%BC%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0%EF%BC%8F%E7%B4%99%E5%B1%8B%E7%94%BA%E3%83%BB%E5%85%AB%E4%B8%81%E5%A0%80%E5%86%8D%E9%96%8B%E7%99%BA%20%E5%BA%83%E5%B3%B6%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
エネルギー・環境,周南コンビナート 水素・アンモニア,中国,中（一部運用・ルート調整中）,転換中,数千億円,0.4,2030年代,事業コンソーシアム,水素|コンビナート,34.05,131.8,https://www.google.com/search?q=%E5%91%A8%E5%8D%97%E3%82%B3%E3%83%B3%E3%83%93%E3%83%8A%E3%83%BC%E3%83%88%20%E6%B0%B4%E7%B4%A0%E3%83%BB%E3%82%A2%E3%83%B3%E3%83%A2%E3%83%8B%E3%82%A2%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
エネルギー・環境,島根原子力発電所 3号機,中国,中（一部運用・ルート調整中）,稼働準備,数千億円,0.5,稼働手続き,中国電力,原子力|島根,35.54,132.99,https://www.google.com/search?q=%E5%B3%B6%E6%A0%B9%E5%8E%9F%E5%AD%90%E5%8A%9B%E7%99%BA%E9%9B%BB%E6%89%80%203%E5%8F%B7%E6%A9%9F%20%E4%B8%AD%E5%9B%BD%E9%9B%BB%E5%8A%9B%20%E5%85%AC%E5%BC%8F
エネルギー・環境,水島コンビナート 脱炭素,中国,中（一部運用・ルート調整中）,転換中,数千億円,0.4,2030年代,事業コンソーシアム,脱炭素|コンビナート,34.5,133.7,https://www.google.com/search?q=%E6%B0%B4%E5%B3%B6%E3%82%B3%E3%83%B3%E3%83%93%E3%83%8A%E3%83%BC%E3%83%88%20%E8%84%B1%E7%82%AD%E7%B4%A0%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,マツダ 電動化拠点（広島）,中国,中（一部運用・ルート調整中）,投資中,数千億円,0.3,段階整備,マツダ,EV|自動車,34.39,132.48,https://www.google.com/search?q=%E3%83%9E%E3%83%84%E3%83%80%20%E9%9B%BB%E5%8B%95%E5%8C%96%E6%8B%A0%E7%82%B9%EF%BC%88%E5%BA%83%E5%B3%B6%EF%BC%89%20%E3%83%9E%E3%83%84%E3%83%80%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,岩国 半導体・物流クラスター,中国,中（一部運用・ルート調整中）,推進中,数千億円,0.2,継続,関係事業者,半導体|物流,34.17,132.22,https://www.google.com/search?q=%E5%B2%A9%E5%9B%BD%20%E5%8D%8A%E5%B0%8E%E4%BD%93%E3%83%BB%E7%89%A9%E6%B5%81%E3%82%AF%E3%83%A9%E3%82%B9%E3%82%BF%E3%83%BC%20%E9%96%A2%E4%BF%82%E4%BA%8B%E6%A5%AD%E8%80%85%20%E5%85%AC%E5%BC%8F
観光・地域活性化,岡山駅前 再開発,中国,中（一部運用・ルート調整中）,進行中,数百億円,0.1,継続,岡山市ほか,再開発|岡山,34.66,133.92,https://www.google.com/search?q=%E5%B2%A1%E5%B1%B1%E9%A7%85%E5%89%8D%20%E5%86%8D%E9%96%8B%E7%99%BA%20%E5%B2%A1%E5%B1%B1%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,鳥取 データセンター／大規模風力,中国,低（構想段階・長期検討）,構想,数百億円,0.2,長期,関係事業者,データセンター|風力,35.5,134.2,https://www.google.com/search?q=%E9%B3%A5%E5%8F%96%20%E3%83%87%E3%83%BC%E3%82%BF%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%8F%E5%A4%A7%E8%A6%8F%E6%A8%A1%E9%A2%A8%E5%8A%9B%20%E9%96%A2%E4%BF%82%E4%BA%8B%E6%A5%AD%E8%80%85%20%E5%85%AC%E5%BC%8F
交通・インフラ,山陰新幹線 構想,中国,低（構想段階・長期検討）,構想,兆円規模,1.5,長期検討,沿線自治体,新幹線|構想,35.47,133.05,https://www.google.com/search?q=%E5%B1%B1%E9%99%B0%E6%96%B0%E5%B9%B9%E7%B7%9A%20%E6%A7%8B%E6%83%B3%20%E6%B2%BF%E7%B7%9A%E8%87%AA%E6%B2%BB%E4%BD%93%20%E5%85%AC%E5%BC%8F
交通・インフラ,四国新幹線 構想,四国,低（構想段階・長期検討）,構想,兆円規模,1.5,長期検討,四国4県ほか,新幹線|構想,34.34,134.04,https://www.google.com/search?q=%E5%9B%9B%E5%9B%BD%E6%96%B0%E5%B9%B9%E7%B7%9A%20%E6%A7%8B%E6%83%B3%20%E5%9B%9B%E5%9B%BD4%E7%9C%8C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,今治 海事クラスター（造船・海運）,四国,中（一部運用・ルート調整中）,強化中,数千億円,0.3,継続,今治造船ほか,造船|海運,34.07,133.0,https://www.google.com/search?q=%E4%BB%8A%E6%B2%BB%20%E6%B5%B7%E4%BA%8B%E3%82%AF%E3%83%A9%E3%82%B9%E3%82%BF%E3%83%BC%EF%BC%88%E9%80%A0%E8%88%B9%E3%83%BB%E6%B5%B7%E9%81%8B%EF%BC%89%20%E4%BB%8A%E6%B2%BB%E9%80%A0%E8%88%B9%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
エネルギー・環境,伊方原子力発電所,四国,中（一部運用・ルート調整中）,運用,数千億円,0.5,運用・更新,四国電力,原子力|伊方,33.49,132.31,https://www.google.com/search?q=%E4%BC%8A%E6%96%B9%E5%8E%9F%E5%AD%90%E5%8A%9B%E7%99%BA%E9%9B%BB%E6%89%80%20%E5%9B%9B%E5%9B%BD%E9%9B%BB%E5%8A%9B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,直島・瀬戸内国際芸術祭,四国,高（着工済・計画決定）,継続開催,数百億円,0.05,トリエンナーレ,福武財団ほか,アート|瀬戸内,34.46,133.99,https://www.google.com/search?q=%E7%9B%B4%E5%B3%B6%E3%83%BB%E7%80%AC%E6%88%B8%E5%86%85%E5%9B%BD%E9%9A%9B%E8%8A%B8%E8%A1%93%E7%A5%AD%20%E7%A6%8F%E6%AD%A6%E8%B2%A1%E5%9B%A3%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,高松 サンポート再開発,四国,中（一部運用・ルート調整中）,進行中,数百億円,0.1,継続,高松市ほか,再開発|高松,34.35,134.05,https://www.google.com/search?q=%E9%AB%98%E6%9D%BE%20%E3%82%B5%E3%83%B3%E3%83%9D%E3%83%BC%E3%83%88%E5%86%8D%E9%96%8B%E7%99%BA%20%E9%AB%98%E6%9D%BE%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
交通・インフラ,松山駅 高架化・周辺整備,四国,中（一部運用・ルート調整中）,整備中,数百億円,0.1,継続,愛媛県・松山市,鉄道高架|松山,33.84,132.77,https://www.google.com/search?q=%E6%9D%BE%E5%B1%B1%E9%A7%85%20%E9%AB%98%E6%9E%B6%E5%8C%96%E3%83%BB%E5%91%A8%E8%BE%BA%E6%95%B4%E5%82%99%20%E6%84%9B%E5%AA%9B%E7%9C%8C%E3%83%BB%E6%9D%BE%E5%B1%B1%E5%B8%82%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,徳島 LED・脱炭素産業,四国,中（一部運用・ルート調整中）,推進中,数百億円,0.1,継続,徳島県ほか,LED|産業,34.07,134.55,https://www.google.com/search?q=%E5%BE%B3%E5%B3%B6%20LED%E3%83%BB%E8%84%B1%E7%82%AD%E7%B4%A0%E7%94%A3%E6%A5%AD%20%E5%BE%B3%E5%B3%B6%E7%9C%8C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,大鳴門橋 自転車道,四国,中（一部運用・ルート調整中）,整備中,数百億円,0.05,開通予定,関係自治体,観光|サイクリング,34.24,134.65,https://www.google.com/search?q=%E5%A4%A7%E9%B3%B4%E9%96%80%E6%A9%8B%20%E8%87%AA%E8%BB%A2%E8%BB%8A%E9%81%93%20%E9%96%A2%E4%BF%82%E8%87%AA%E6%B2%BB%E4%BD%93%20%E5%85%AC%E5%BC%8F
交通・インフラ,高知駅周辺・南海トラフ防災,四国,中（一部運用・ルート調整中）,整備中,数百億円,0.2,継続,高知県・高知市,防災|高知,33.57,133.54,https://www.google.com/search?q=%E9%AB%98%E7%9F%A5%E9%A7%85%E5%91%A8%E8%BE%BA%E3%83%BB%E5%8D%97%E6%B5%B7%E3%83%88%E3%83%A9%E3%83%95%E9%98%B2%E7%81%BD%20%E9%AB%98%E7%9F%A5%E7%9C%8C%E3%83%BB%E9%AB%98%E7%9F%A5%E5%B8%82%20%E5%85%AC%E5%BC%8F
エネルギー・環境,高知 黒潮・再エネ拠点,四国,低（構想段階・長期検討）,構想,数百億円,0.2,長期,関係事業者,再エネ|高知,33.4,133.5,https://www.google.com/search?q=%E9%AB%98%E7%9F%A5%20%E9%BB%92%E6%BD%AE%E3%83%BB%E5%86%8D%E3%82%A8%E3%83%8D%E6%8B%A0%E7%82%B9%20%E9%96%A2%E4%BF%82%E4%BA%8B%E6%A5%AD%E8%80%85%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,TSMC熊本（JASM 第1・第2工場）,九州,高（着工済・計画決定）,建設中,約3.5兆円,3.5,量産入り〜建設中,JASM（TSMC等）,半導体|TSMC,32.886,130.784,https://www.jasm.co.jp/
産業・テクノロジー,ソニー半導体 熊本（イメージセンサ）,九州,高（着工済・計画決定）,新棟建設,数千億円,0.6,増産,ソニーセミコンダクタ,半導体|イメージセンサ,32.87,130.77,https://www.sony-semicon.com/ja/
交通・インフラ,西九州新幹線（武雄温泉〜長崎）,九州,中（一部運用・ルート調整中）,一部運用中,数千億円,0.6,2022年 開業,鉄道・運輸機構、JR九州,新幹線|長崎,32.75,129.873,https://www.jrkyushu.co.jp/
エネルギー・環境,五島沖 浮体式洋上風力,九州,高（着工済・計画決定）,商業運転,数千億円,0.3,運転中,戸田建設 ほか,浮体式|洋上風力,32.7,128.8,https://www.toda.co.jp/
エネルギー・環境,九州 系統用蓄電池（BESS）集積,九州,高（着工済・計画決定）,開発加速,数百億円〜,0.5,増加,各開発事業者,蓄電池|系統,32.98,130.79,https://www.google.com/search?q=%E4%B9%9D%E5%B7%9E%20%E7%B3%BB%E7%B5%B1%E7%94%A8%E8%93%84%E9%9B%BB%E6%B1%A0%EF%BC%88BESS%EF%BC%89%E9%9B%86%E7%A9%8D%20%E5%90%84%E9%96%8B%E7%99%BA%E4%BA%8B%E6%A5%AD%E8%80%85%20%E5%85%AC%E5%BC%8F
観光・地域活性化,天神ビッグバン,九州,中（一部運用・ルート調整中）,進行中,経済効果 数兆円試算,1.0,建替え促進,福岡市、民間,再開発|福岡,33.591,130.399,https://www.google.com/search?q=%E5%A4%A9%E7%A5%9E%E3%83%93%E3%83%83%E3%82%B0%E3%83%90%E3%83%B3%20%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%81%E6%B0%91%E9%96%93%20%E5%85%AC%E5%BC%8F
交通・インフラ,福岡空港 滑走路増設,九州,高（着工済・計画決定）,整備中,"約1,600億円",0.16,2025年 供用,国・福岡市,空港|滑走路,33.586,130.451,https://www.google.com/search?q=%E7%A6%8F%E5%B2%A1%E7%A9%BA%E6%B8%AF%20%E6%BB%91%E8%B5%B0%E8%B7%AF%E5%A2%97%E8%A8%AD%20%E5%9B%BD%E3%83%BB%E7%A6%8F%E5%B2%A1%E5%B8%82%20%E5%85%AC%E5%BC%8F
観光・地域活性化,博多コネクティッド（博多駅周辺再開発）,九州,高（着工済・計画決定）,進行中,数千億円,0.3,継続,福岡市、民間,再開発|博多,33.59,130.42,https://www.google.com/search?q=%E5%8D%9A%E5%A4%9A%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%86%E3%82%A3%E3%83%83%E3%83%89%EF%BC%88%E5%8D%9A%E5%A4%9A%E9%A7%85%E5%91%A8%E8%BE%BA%E5%86%8D%E9%96%8B%E7%99%BA%EF%BC%89%20%E7%A6%8F%E5%B2%A1%E5%B8%82%E3%80%81%E6%B0%91%E9%96%93%20%E5%85%AC%E5%BC%8F
エネルギー・環境,北九州 響灘 洋上風力・グリーンエネルギー拠点,九州,高（着工済・計画決定）,整備・運開,数千億円,0.5,順次,事業コンソーシアム,洋上風力|拠点,33.95,130.9,https://www.google.com/search?q=%E5%8C%97%E4%B9%9D%E5%B7%9E%20%E9%9F%BF%E7%81%98%20%E6%B4%8B%E4%B8%8A%E9%A2%A8%E5%8A%9B%E3%83%BB%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC%E6%8B%A0%E7%82%B9%20%E4%BA%8B%E6%A5%AD%E3%82%B3%E3%83%B3%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%A2%E3%83%A0%20%E5%85%AC%E5%BC%8F
観光・地域活性化,長崎スタジアムシティ,九州,高（着工済・計画決定）,開業,"約1,000億円",0.1,2024年 開業,ジャパネットHD,スタジアム|長崎,32.74,129.87,https://www.google.com/search?q=%E9%95%B7%E5%B4%8E%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%A2%E3%83%A0%E3%82%B7%E3%83%86%E3%82%A3%20%E3%82%B8%E3%83%A3%E3%83%91%E3%83%8D%E3%83%83%E3%83%88HD%20%E5%85%AC%E5%BC%8F
観光・地域活性化,JUNGLIA OKINAWA（名護）,沖縄,高（着工済・計画決定）,開業,約700億円,0.07,2025年7月 開業,ジャパンエンターテイメント,テーマパーク|沖縄,26.69,128.0,https://junglia.jp/
交通・インフラ,那覇空港 第2滑走路,沖縄,高（着工済・計画決定）,運用中,"約2,000億円",0.2,2020年 供用,国・沖縄県,空港|滑走路,26.2,127.65,https://www.google.com/search?q=%E9%82%A3%E8%A6%87%E7%A9%BA%E6%B8%AF%20%E7%AC%AC2%E6%BB%91%E8%B5%B0%E8%B7%AF%20%E5%9B%BD%E3%83%BB%E6%B2%96%E7%B8%84%E7%9C%8C%20%E5%85%AC%E5%BC%8F
交通・インフラ,沖縄 鉄軌道 構想,沖縄,低（構想段階・長期検討）,構想,数千億円,0.6,長期検討,沖縄県,鉄軌道|沖縄,26.21,127.69,https://www.google.com/search?q=%E6%B2%96%E7%B8%84%20%E9%89%84%E8%BB%8C%E9%81%93%20%E6%A7%8B%E6%83%B3%20%E6%B2%96%E7%B8%84%E7%9C%8C%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,沖縄科学技術大学院大学（OIST）拡張,沖縄,高（着工済・計画決定）,拡張中,数百億円,0.2,段階拡張,OIST,研究|大学,26.46,127.84,https://www.google.com/search?q=%E6%B2%96%E7%B8%84%E7%A7%91%E5%AD%A6%E6%8A%80%E8%A1%93%E5%A4%A7%E5%AD%A6%E9%99%A2%E5%A4%A7%E5%AD%A6%EF%BC%88OIST%EF%BC%89%E6%8B%A1%E5%BC%B5%20OIST%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,那覇 国際物流ハブ／MICE,沖縄,中（一部運用・ルート調整中）,拡大中,数百億円,0.2,継続,沖縄県ほか,物流|MICE,26.2,127.65,https://www.google.com/search?q=%E9%82%A3%E8%A6%87%20%E5%9B%BD%E9%9A%9B%E7%89%A9%E6%B5%81%E3%83%8F%E3%83%96%EF%BC%8FMICE%20%E6%B2%96%E7%B8%84%E7%9C%8C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
産業・テクノロジー,うるま IT・データセンター,沖縄,中（一部運用・ルート調整中）,整備中,数百億円,0.2,継続,関係事業者,データセンター|IT,26.38,127.86,https://www.google.com/search?q=%E3%81%86%E3%82%8B%E3%81%BE%20IT%E3%83%BB%E3%83%87%E3%83%BC%E3%82%BF%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E9%96%A2%E4%BF%82%E4%BA%8B%E6%A5%AD%E8%80%85%20%E5%85%AC%E5%BC%8F
観光・地域活性化,宮古島 スマートアイランド／観光,沖縄,中（一部運用・ルート調整中）,推進中,数百億円,0.1,継続,宮古島市ほか,観光|スマート,24.8,125.28,https://www.google.com/search?q=%E5%AE%AE%E5%8F%A4%E5%B3%B6%20%E3%82%B9%E3%83%9E%E3%83%BC%E3%83%88%E3%82%A2%E3%82%A4%E3%83%A9%E3%83%B3%E3%83%89%EF%BC%8F%E8%A6%B3%E5%85%89%20%E5%AE%AE%E5%8F%A4%E5%B3%B6%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,石垣・八重山 国際リゾート,沖縄,中（一部運用・ルート調整中）,拡大中,数百億円,0.1,継続,民間ほか,リゾート|石垣,24.4,124.16,https://www.google.com/search?q=%E7%9F%B3%E5%9E%A3%E3%83%BB%E5%85%AB%E9%87%8D%E5%B1%B1%20%E5%9B%BD%E9%9A%9B%E3%83%AA%E3%82%BE%E3%83%BC%E3%83%88%20%E6%B0%91%E9%96%93%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
観光・地域活性化,やんばる 北部観光圏開発,沖縄,中（一部運用・ルート調整中）,推進中,数百億円,0.1,継続,沖縄県・名護市ほか,観光|世界自然遺産,26.6,128.0,https://www.google.com/search?q=%E3%82%84%E3%82%93%E3%81%B0%E3%82%8B%20%E5%8C%97%E9%83%A8%E8%A6%B3%E5%85%89%E5%9C%8F%E9%96%8B%E7%99%BA%20%E6%B2%96%E7%B8%84%E7%9C%8C%E3%83%BB%E5%90%8D%E8%AD%B7%E5%B8%82%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
エネルギー・環境,沖縄 海洋温度差発電・再エネ,沖縄,低（構想段階・長期検討）,実証,数百億円,0.1,長期,沖縄県ほか,再エネ|海洋,26.5,128.05,https://www.google.com/search?q=%E6%B2%96%E7%B8%84%20%E6%B5%B7%E6%B4%8B%E6%B8%A9%E5%BA%A6%E5%B7%AE%E7%99%BA%E9%9B%BB%E3%83%BB%E5%86%8D%E3%82%A8%E3%83%8D%20%E6%B2%96%E7%B8%84%E7%9C%8C%E3%81%BB%E3%81%8B%20%E5%85%AC%E5%BC%8F
